"STATION","NAME","DATE","TMAX","TMIN"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","2018-08-26","94","76"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","2018-08-27","94","76"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","2018-08-28","93","76"
"USW00013893","MEMPHIS INTERNATIONAL AIRPORT, TN US","2018-08-29","93","73"
